ID,Date,Temperature,Humidity,Wind_speed,Visibility,Dew.point.temperature
1,2017-12-01,-5.2,37,2.2,2000,-17.6
2,2017-12-01,-5.5,38,0.8,2000,-17.6
3,2017-12-01,-6,39,1,2000,-17.7
4,2017-12-01,-6.2,40,0.9,2000,-17.6
5,2017-12-01,-6,36,2.3,2000,-18.6
6,2017-12-01,-6.4,37,1.5,2000,-18.7
7,2017-12-01,-6.6,35,1.3,2000,-19.5
8,2017-12-01,-7.4,38,0.9,2000,-19.3
9,2017-12-01,-7.6,37,1.1,2000,-19.8
10,2017-12-01,-6.5,27,0.5,1928,-22.4
11,2017-12-01,-3.5,24,1.2,1996,-21.2
12,2017-12-01,-0.5,21,1.3,1936,-20.2
13,2017-12-01,1.7,23,1.4,2000,-17.2
14,2017-12-01,2.4,25,1.6,2000,-15.6
15,2017-12-01,3,26,2,2000,-14.6
16,2017-12-01,2.1,36,3.2,2000,-11.4
17,2017-12-01,1.2,54,4.2,793,-7
18,2017-12-01,0.8,58,1.6,2000,-6.5
19,2017-12-01,0.6,66,1.4,2000,-5
20,2017-12-01,0,77,1.7,2000,-3.5
21,2017-12-01,-0.3,79,1.5,1913,-3.5
22,2017-12-01,-0.8,81,0.8,1687,-3.6
23,2017-12-01,-0.9,83,1.5,1380,-3.4
24,2017-12-01,-1.3,84,1,1265,-3.6
25,2017-12-02,-1.8,87,1.1,994,-3.6
26,2017-12-02,-2.2,86,0.6,990,-4.2
27,2017-12-02,-2.9,86,1.5,1256,-4.9
28,2017-12-02,-3.5,81,2.2,1221,-6.2
29,2017-12-02,NA,79,2,1167,-6.9
30,2017-12-02,-4,79,1.5,1202,-7.1
31,2017-12-02,-4.3,82,2.1,1178,-6.9
32,2017-12-02,-4.4,81,2.5,1276,-7.1
33,2017-12-02,-4.2,79,2.1,1436,-7.3
34,2017-12-02,-2.9,68,1.6,1487,-7.9
35,2017-12-02,-0.4,57,1.6,1309,-7.8
36,2017-12-02,1.9,49,1.8,1406,-7.7
37,2017-12-02,4.3,41,1.3,1666,-7.8
38,2017-12-02,6,36,1.8,1780,-7.9
39,2017-12-02,7.3,35,1.3,1955,-7.1
40,2017-12-02,7.6,41,2.3,1953,-4.8
41,2017-12-02,6.4,48,2.6,1945,-3.8
42,2017-12-02,6,51,2.5,1891,-3.3
43,2017-12-02,5.5,53,1.5,1697,-3.3
44,2017-12-02,5,52,2.3,1666,-4
45,2017-12-02,4.6,51,1.2,1585,-4.6
46,2017-12-02,4.1,55,1.2,1448,-4.1
47,2017-12-02,3.5,54,1.5,1446,-4.9
48,2017-12-02,4,56,1,1352,-4
49,2017-12-03,4,58,1.4,1296,-3.5
50,2017-12-03,3.9,69,1.7,485,-1.2
51,2017-12-03,3.3,79,1.4,830,0
52,2017-12-03,3.4,71,1.6,1011,-1.3
53,2017-12-03,3.5,73,1,1060,-0.8
54,2017-12-03,3.9,75,1.9,914,-0.1
55,2017-12-03,3.4,86,2.5,278,1.2
56,2017-12-03,3.1,NA,1.2,129,1.7
57,2017-12-03,3.2,92,1.8,244,2
58,2017-12-03,3.5,91,1.8,231,NA
59,2017-12-03,4.4,89,2.2,257,2.7
60,2017-12-03,5.1,87,1.4,321,3.1
61,2017-12-03,5.8,85,1.7,349,3.4
62,2017-12-03,6.8,81,1.9,390,3.7
63,2017-12-03,7.6,76,1.2,422,3.6
64,2017-12-03,8,73,1.6,433,3.4
65,2017-12-03,7.6,77,1.6,399,3.8
66,2017-12-03,6.7,82,1.5,358,3.8
67,2017-12-03,6,84,1.9,327,3.4
68,2017-12-03,5.7,85,1.7,309,3.3
69,2017-12-03,5.2,87,1.4,253,3.2
70,2017-12-03,4.7,87,1.2,247,2.7
71,2017-12-03,4.3,89,1.8,201,2.6
72,2017-12-03,3.9,90,1.3,194,2.4
73,2017-12-04,4.2,88,0.6,216,2.3
74,2017-12-04,4.3,87,0.5,221,2.3
75,2017-12-04,4.4,87,1.8,207,2.4
76,2017-12-04,3.6,85,2.3,206,1.3
77,2017-12-04,2.8,89,1.5,130,1.1
78,2017-12-04,2,83,2.7,253,-0.5
79,2017-12-04,1.2,76,3.7,371,-2.5
80,2017-12-04,0.2,68,3.4,702,-5
81,2017-12-04,-0.8,69,3.5,954,NA
82,2017-12-04,-1.5,47,4.2,1888,-11.3
83,2017-12-04,-1.1,40,4.5,2000,-13
84,2017-12-04,-0.5,41,4.1,1799,-12.1
85,2017-12-04,-0.3,38,4.8,1823,-12.9
86,2017-12-04,0,30,5.4,1938,-15.5
87,2017-12-04,0.1,27,4.5,2000,-16.7
88,2017-12-04,-0.1,25,5.8,2000,-17.8
89,2017-12-04,-0.2,23,4.7,2000,-18.8
90,2017-12-04,-1.3,26,5.3,2000,-18.3
91,2017-12-04,-2.1,29,3.9,2000,-17.7
92,2017-12-04,-2.9,32,3.2,2000,-17.3
93,2017-12-04,-3.6,38,3,2000,-15.8
94,2017-12-04,-4.6,43,4.5,2000,-15.3
95,2017-12-04,-5.3,45,2.5,2000,-15.3
96,2017-12-04,-5.8,44,2.4,2000,-16.1
97,2017-12-05,-6.1,42,2.6,2000,-16.9
98,2017-12-05,-6.5,41,2.8,2000,-17.6
99,2017-12-05,-6.8,41,2.5,NA,-17.8
100,2017-12-05,-6.9,39,2,2000,-18.5
101,2017-12-05,-7.2,34,3,2000,-20.4
102,2017-12-05,-7.4,33,2.6,2000,-20.9
103,2017-12-05,-7.4,34,3.2,2000,-20.6
104,2017-12-05,-7.5,33,2.2,2000,-21
105,2017-12-05,-8.1,36,1.6,2000,-20.5
106,2017-12-05,-7.6,31,1.3,1974,-21.8
107,2017-12-05,-5.5,26,2.8,1967,-22
108,2017-12-05,-3.9,25,0,1959,-21
109,2017-12-05,-2.3,25,0,1962,-19.7
110,2017-12-05,-1.6,27,0,1955,-18.2
111,2017-12-05,-1.1,28,0,2000,-17.3
112,2017-12-05,-0.7,28,0,2000,-16.9
113,2017-12-05,-0.5,30,0,2000,-16
114,2017-12-05,-1.6,35,0,2000,-15.1
115,2017-12-05,-2.6,40,0,2000,-14.4
116,2017-12-05,-3.2,45,0,NA,-13.5
117,2017-12-05,-3.5,46,0,2000,-13.4
118,2017-12-05,-3.7,47,0,2000,-13.3
119,2017-12-05,-2.8,49,0,2000,-12
120,2017-12-05,-2.5,59,0,1210,-9.4
121,2017-12-06,-2.8,NA,0,331,-6.2
122,2017-12-06,-3,79,0,293,-6.1
123,2017-12-06,-3,79,0,1862,-6.1
